schema,label
NewsArticle,information
AnalysisNewsArticle,information
AskPublicNewsArticle,information
BackgroundNewsArticle,information
OpinionNewsArticle,information
ReportageNewsArticle,information
TechArticle,information
Report,information
ScholarlyArticle,information
MedicalScholarlyArticle,information
Course,information
LearningResource,information
EducationalOccupationalCredential,information
Quiz,information
HowTo,information
HowToDirection,information
HowToSection,information
HowToStep,information
HowToTip,information
Blog,blog
BlogPosting,blog
SocialMediaPosting,community
LiveBlogPosting,blog
DiscussionForumPosting,community
Comment,community
Message,community
EmailMessage,community
Conversation,community
Game,community
Event,event
BusinessEvent,event
ChildrensEvent,event
ComedyEvent,event
CourseInstance,event
DanceEvent,event
DeliveryEvent,event
EducationEvent,event
EventSeries,event
ExhibitionEvent,event
Festival,event
FoodEvent,event
Hackathon,event
LiteraryEvent,event
MusicEvent,event
PublicationEvent,event
BroadcastEvent,event
OnDemandEvent,event
SaleEvent,event
ScreeningEvent,event
SocialEvent,event
SportsEvent,event
TheaterEvent,event
VisualArtsEvent,event
VisualArtsEvent,educational
Organization,organization
Airline,organization
Consortium,organization
Corporation,organization
EducationalOrganization,organization
CollegeOrUniversity,organization
ElementarySchool,organization
HighSchool,organization
MiddleSchool,organization
Preschool,organization
School,organization
GovernmentOrganization,organization
NewsMediaOrganization,organization
LocalBusiness,organization
AnimalShelter,organization
ArchiveOrganization,organization
AutomotiveBusiness,organization
AutoBodyShop,organization
AutoDealer,organization
AutoPartsStore,organization
AutoRental,organization
AutoRepair,organization
AutoWash,organization
GasStation,organization
MotorcycleDealer,organization
MotorcycleRepair,organization
ChildCare,organization
Dentist,organization
DryCleaningOrLaundry,organization
FireStation,organization
Hospital,organization
PoliceStation,organization
EmploymentAgency,organization
EntertainmentBusiness,organization
AmusementPark,organization
ArtGallery,organization
Casino,organization
ComedyClub,organization
MovieTheater,organization
NightClub,organization
ResearchOrganization,organization
SearchRescueOrganization,organization
SportsOrganization,organization
SportsTeam,organization
WorkersUnion,organization
NewsMediaOrganization,organization
Product,shop
IndividualProduct,shop
ProductCollection,shop
ProductGroup,shop
ProductModel,shop
SomeProducts,shop
OnlineBusiness,shop
OnlineStore,shop
